
step 0: train loss 10.9116, val loss 10.9079
iter 1040: loss 4.8496, time 631.19ms, mfu 15.89%
iter 1050: loss 5.2722, time 632.58ms, mfu 15.98%
iter 1060: loss 4.8828, time 627.64ms, mfu 16.08%
iter 1070: loss 5.3334, time 628.27ms, mfu 16.17%
iter 1080: loss 5.3070, time 627.17ms, mfu 16.25%
iter 1090: loss 4.9591, time 627.76ms, mfu 16.32%
iter 1100: loss 4.9078, time 627.75ms, mfu 16.38%
iter 1110: loss 5.2648, time 627.66ms, mfu 16.44%
iter 1120: loss 5.0330, time 628.35ms, mfu 16.49%
iter 1130: loss 4.8012, time 626.28ms, mfu 16.54%
iter 1140: loss 5.3021, time 630.32ms, mfu 16.57%
iter 1150: loss 5.1239, time 628.90ms, mfu 16.61%
iter 1160: loss 5.0361, time 628.07ms, mfu 16.64%
iter 1170: loss 4.8761, time 625.39ms, mfu 16.68%
iter 1180: loss 5.1221, time 627.54ms, mfu 16.71%
iter 1190: loss 4.8421, time 626.23ms, mfu 16.74%
iter 1200: loss 5.0383, time 627.50ms, mfu 16.76%
iter 1210: loss 5.0333, time 631.24ms, mfu 16.77%
iter 1220: loss 4.9941, time 628.90ms, mfu 16.79%
iter 1230: loss 4.8127, time 628.00ms, mfu 16.80%
iter 1240: loss 4.7402, time 631.83ms, mfu 16.81%
iter 1250: loss 4.7765, time 627.80ms, mfu 16.82%
iter 1260: loss 4.9913, time 627.64ms, mfu 16.83%
iter 1270: loss 4.9586, time 631.36ms, mfu 16.84%
iter 1280: loss 4.7443, time 628.05ms, mfu 16.85%
iter 1290: loss 4.7778, time 627.54ms, mfu 16.86%
iter 1300: loss 4.6551, time 628.33ms, mfu 16.87%
iter 1310: loss 5.0660, time 628.29ms, mfu 16.87%
iter 1320: loss 4.7448, time 628.15ms, mfu 16.88%
iter 1330: loss 4.9852, time 628.55ms, mfu 16.89%
iter 1340: loss 4.6619, time 627.12ms, mfu 16.90%
iter 1350: loss 4.7716, time 628.14ms, mfu 16.90%
iter 1360: loss 4.7369, time 627.23ms, mfu 16.91%
iter 1370: loss 4.8508, time 627.16ms, mfu 16.91%
iter 1380: loss 4.5273, time 626.66ms, mfu 16.92%
iter 1390: loss 4.6253, time 628.28ms, mfu 16.92%
iter 1400: loss 4.6345, time 627.74ms, mfu 16.93%
iter 1410: loss 4.6292, time 626.92ms, mfu 16.93%
iter 1420: loss 4.5104, time 627.19ms, mfu 16.93%
iter 1430: loss 4.7003, time 627.65ms, mfu 16.94%
iter 1440: loss 4.5008, time 627.31ms, mfu 16.94%
iter 1450: loss 4.6301, time 625.92ms, mfu 16.95%
iter 1460: loss 4.5867, time 627.31ms, mfu 16.95%
iter 1470: loss 4.3570, time 628.48ms, mfu 16.95%
iter 1480: loss 4.6355, time 626.83ms, mfu 16.95%
iter 1490: loss 4.5488, time 626.91ms, mfu 16.95%
iter 1500: loss 4.5188, time 625.96ms, mfu 16.96%
iter 1510: loss 4.4013, time 627.45ms, mfu 16.96%
iter 1520: loss 4.5543, time 627.50ms, mfu 16.96%
iter 1530: loss 4.5629, time 627.52ms, mfu 16.96%
iter 1540: loss 4.3879, time 628.93ms, mfu 16.96%
iter 1550: loss 4.4109, time 627.79ms, mfu 16.96%
iter 1560: loss 4.4441, time 627.66ms, mfu 16.96%
iter 1570: loss 4.4063, time 627.70ms, mfu 16.96%
iter 1580: loss 4.4487, time 627.62ms, mfu 16.96%
iter 1590: loss 4.5002, time 627.91ms, mfu 16.96%
iter 1600: loss 4.5476, time 627.44ms, mfu 16.96%
iter 1610: loss 4.1810, time 626.75ms, mfu 16.96%
iter 1620: loss 4.4755, time 627.06ms, mfu 16.96%
iter 1630: loss 4.5791, time 628.46ms, mfu 16.96%
iter 1640: loss 4.4511, time 627.87ms, mfu 16.96%
iter 1650: loss 4.3693, time 628.16ms, mfu 16.96%
iter 1660: loss 4.3595, time 626.57ms, mfu 16.96%
iter 1670: loss 4.5363, time 626.88ms, mfu 16.96%
iter 1680: loss 4.3848, time 627.45ms, mfu 16.96%
iter 1690: loss 3.8891, time 627.75ms, mfu 16.96%
iter 1700: loss 4.4510, time 627.89ms, mfu 16.96%
iter 1710: loss 4.3043, time 627.56ms, mfu 16.96%
iter 1720: loss 4.3083, time 627.91ms, mfu 16.96%
iter 1730: loss 4.4747, time 626.36ms, mfu 16.96%
iter 1740: loss 4.4587, time 629.30ms, mfu 16.96%
iter 1750: loss 4.1781, time 627.97ms, mfu 16.96%
iter 1760: loss 4.4843, time 629.79ms, mfu 16.95%
iter 1770: loss 4.3855, time 627.44ms, mfu 16.95%
iter 1780: loss 4.2883, time 627.43ms, mfu 16.95%
iter 1790: loss 4.4444, time 627.71ms, mfu 16.95%
iter 1800: loss 4.2124, time 627.88ms, mfu 16.95%
